ax,ay,az,gx,gy,gz,mx,my,mz,heading,pitch,roll
0.017,-0.524,-0.881,0.023,-0.009,0.05,-29.7,-255.15,-9.45,201.63,9.42,-57.4
0.019,-0.538,-0.883,0.02,-0.005,0.053,-30.15,-255.6,-9.9,201.62,9.48,-57.71
0.014,-0.53,-0.88,0.027,-0.006,0.035,-27.9,-255.15,-9.45,201.61,9.53,-58.03
0.014,-0.53,-0.88,0.039,0.008,-0.031,-28.2,-255.6,-9.45,201.6,9.58,-58.34
0.019,-0.535,-0.884,0.039,-0.002,-0.059,-29.85,-255.0,-10.8,201.58,9.63,-58.66
0.018,-0.523,-0.876,0.039,0.005,-0.055,-29.55,-254.55,-9.3,201.57,9.68,-58.97
0.019,-0.524,-0.879,0.039,0.005,-0.017,-29.7,-253.65,-9.45,201.55,9.73,-59.28
0.019,-0.524,-0.879,0.032,-0.001,0.019,-29.55,-254.55,-9.75,201.53,9.78,-59.6
0.019,-0.523,-0.878,0.022,-0.004,0.06,-28.8,-255.3,-11.55,201.51,9.83,-59.91
0.01,-0.531,-0.882,0.025,-0.005,0.044,-29.55,-255.75,-10.8,201.5,9.88,-60.23
0.01,-0.531,-0.882,0.027,0.001,0.016,-26.55,-254.55,-10.8,201.48,9.93,-60.54
0.009,-0.532,-0.881,0.038,0.007,-0.042,-29.4,-254.4,-9.15,201.46,9.98,-60.85
0.017,-0.533,-0.877,0.047,0.004,-0.059,-29.55,-254.4,-9.15,201.43,10.02,-61.17
0.018,-0.52,-0.88,0.038,0.001,-0.048,-28.05,-256.05,-11.1,201.41,10.07,-61.48
0.018,-0.52,-0.88,0.029,-0.002,0.008,-29.85,-256.05,-10.8,201.39,10.11,-61.8
0.019,-0.527,-0.879,0.027,-0.003,0.037,-28.8,-255.75,-10.05,201.36,10.16,-62.11
0.019,-0.528,-0.879,0.022,-0.005,0.051,-29.25,-256.05,-9.0,201.34,10.2,-62.42
0.019,-0.528,-0.879,0.033,-0.002,0.027,-29.25,-256.05,-9.0,201.31,10.24,-62.74
0.008,-0.532,-0.882,0.034,0.001,-0.002,-28.05,-255.3,-9.75,201.29,10.28,-63.05
0.014,-0.528,-0.882,0.045,0.001,-0.051,-29.7,-255.6,-9.15,201.26,10.33,-63.37
0.018,-0.526,-0.881,0.043,0.004,-0.049,-28.95,-254.7,-8.7,201.23,10.37,-63.68
0.018,-0.526,-0.881,0.043,0.002,-0.029,-29.85,-255.3,-9.3,201.2,10.4,-64.0
0.019,-0.522,-0.877,0.028,-0.003,0.028,-29.85,-255.3,-9.3,201.17,10.44,-64.31
0.019,-0.526,-0.881,0.025,0.001,0.053,-29.85,-255.3,-9.3,201.14,10.48,-64.62
0.019,-0.526,-0.881,0.021,-0.002,0.052,-28.5,-256.5,-9.3,201.11,10.52,-64.94
0.012,-0.525,-0.883,0.034,0.0,0.004,-29.4,-255.15,-10.95,201.08,10.56,-65.25
0.007,-0.534,-0.88,0.034,0.004,-0.025,-28.65,-255.9,-9.45,201.04,10.59,-65.57
0.019,-0.526,-0.877,0.047,0.007,-0.053,-29.25,-255.0,-9.3,201.01,10.63,-65.88
0.019,-0.526,-0.877,0.04,0.002,-0.043,-29.25,-255.0,-9.3,200.98,10.66,-66.2
0.014,-0.531,-0.885,0.036,0.002,-0.02,-29.25,-256.5,-10.05,200.94,10.69,-66.51
0.016,-0.527,-0.881,0.022,-0.003,0.046,-29.55,-255.75,-10.35,200.91,10.73,-66.82
0.017,-0.529,-0.884,0.017,-0.002,0.051,-28.5,-255.0,-10.35,200.87,10.76,-67.14
0.017,-0.529,-0.884,0.027,-0.004,0.04,-28.05,-254.55,-10.8,200.84,10.79,-67.45
0.011,-0.526,-0.881,0.035,-0.0,-0.011,-28.05,-254.55,-10.8,200.8,10.82,-67.77
0.019,-0.528,-0.88,0.045,0.008,-0.041,-28.95,-255.15,-9.15,200.76,10.85,-68.08
0.019,-0.528,-0.88,0.05,0.003,-0.052,-29.25,-255.75,-9.75,200.72,10.88,-68.39
0.019,-0.527,-0.881,0.037,0.0,-0.029,-29.4,-255.6,-9.45,200.68,10.91,-68.71
0.018,-0.527,-0.882,0.032,-0.002,0.006,-28.95,-254.4,-9.9,200.64,10.93,-69.02
0.015,-0.526,-0.879,0.023,-0.004,0.057,-28.95,-254.4,-9.9,200.6,10.96,-69.34
0.015,-0.526,-0.879,0.021,-0.003,0.052,-28.2,-255.9,-9.9,200.56,10.98,-69.65
0.016,-0.534,-0.884,0.025,-0.002,0.035,-28.5,-254.55,-10.35,200.52,11.01,-69.96
0.013,-0.533,-0.885,0.043,0.006,-0.032,-28.5,-254.55,-9.3,200.48,11.03,-70.28
0.013,-0.533,-0.885,0.043,0.006,-0.054,-30.3,-255.0,-9.75,200.43,11.06,-70.59
0.023,-0.53,-0.884,0.043,0.004,-0.06,-30.3,-255.0,-9.75,200.39,11.08,-70.9
0.022,-0.528,-0.881,0.038,-0.0,-0.022,-28.95,-255.6,-9.45,200.35,11.1,-71.22
0.022,-0.525,-0.882,0.024,-0.005,0.023,-30.3,-254.55,-9.3,200.3,11.11,-71.53
0.022,-0.525,-0.882,0.017,-0.005,0.064,-28.65,-254.7,-9.45,200.26,11.13,-71.84
0.015,-0.533,-0.888,0.02,-0.006,0.052,-28.2,-255.15,-10.65,200.21,11.15,-72.16
0.015,-0.531,-0.883,0.032,-0.003,0.03,-28.2,-255.15,-10.65,200.16,11.17,-72.47
0.015,-0.531,-0.883,0.044,0.009,-0.05,-29.25,-255.0,-10.65,200.12,11.19,-72.78
0.016,-0.525,-0.881,0.046,0.004,-0.065,-28.65,-254.4,-9.9,200.07,11.2,-73.09
0.022,-0.527,-0.88,0.043,0.004,-0.061,-29.55,-255.75,-10.05,200.02,11.21,-73.41
0.015,-0.53,-0.88,0.03,-0.003,0.009,-29.25,-255.75,-9.3,199.98,11.23,-73.72
0.015,-0.53,-0.88,0.023,-0.006,0.043,-29.25,-255.75,-9.3,199.93,11.24,-74.03
0.019,-0.527,-0.879,0.02,-0.004,0.064,-29.25,-255.75,-9.3,199.88,11.25,-74.35
0.013,-0.533,-0.886,0.031,-0.0,0.033,-29.4,-256.35,-9.15,199.83,11.26,-74.66
0.013,-0.533,-0.886,0.03,0.007,-0.007,-27.15,-254.7,-9.45,199.78,11.27,-74.97
0.015,-0.528,-0.879,0.048,0.007,-0.066,-29.25,-255.3,-9.75,199.73,11.28,-75.28
0.02,-0.517,-0.882,0.046,0.009,-0.063,-28.65,-255.6,-9.9,199.68,11.29,-75.59
0.018,-0.526,-0.88,0.041,0.006,-0.038,-28.65,-255.6,-9.9,199.63,11.29,-75.91
0.018,-0.526,-0.88,0.028,-0.007,0.033,-29.7,-254.7,-10.2,199.58,11.3,-76.22
0.014,-0.526,-0.877,0.023,-0.007,0.059,-27.9,-254.7,-9.9,199.53,11.31,-76.53
0.015,-0.528,-0.881,0.019,-0.009,0.058,-29.7,-254.7,-9.9,199.47,11.31,-76.84
